Company_name,Company_info_url,IPO_category,IPO_open_date,IPO_close_date,IPO_list_date,IPO_face_value,IPO_issue_price,IPO_lot_size,IPO_issue_size,IPO_Broker_apply,IPO_Broker_neutral,IPO_Broker_avoid,IPO_Member_apply,IPO_Member_neutral,IPO_Member_avoid,IPO_day1_qib,IPO_day1_nii,IPO_day1_rtl,IPO_day2_qib,IPO_day2_nii,IPO_day2_rtl,IPO_day3_qib,IPO_day3_nii,IPO_day3_rtl,IPO_RHP_doc,IPO_gmp_link
Optivalue Tek Consulting Limited,https://www.chittorgarh.com/ipo/optivalue-tek-consulting-ipo/2252/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Goel Construction Company Limited,https://www.chittorgarh.com/ipo/goel-construction-ipo/2284/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Rachit Prints Limited,https://www.chittorgarh.com/ipo/rachit-prints-ipo/2198/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Sugs Lloyd Limited,https://www.chittorgarh.com/ipo/sugs-lloyd-ipo/2217/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Snehaa Organics Limited,https://www.chittorgarh.com/ipo/snehaa-organics-ipo/2275/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Abril Paper Tech Limited,https://www.chittorgarh.com/ipo/abril-paper-tech-ipo/2506/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Oval Projects Engineering Limited,https://www.chittorgarh.com/ipo/oval-projects-ipo/2131/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Current Infraprojects Limited,https://www.chittorgarh.com/ipo/current-infraprojects-ipo/2282/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Sattva Engineering Construction Limited,https://www.chittorgarh.com/ipo/sattva-engineering-construction-ipo/2355/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Globtier Infotech Limited,https://www.chittorgarh.com/ipo/globtier-infotech-ipo/2135/,SME,,,,,,,,,,,,,,,,,,,,,,,,
NIS Management Limited,https://www.chittorgarh.com/ipo/nis-management-ipo/2332/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Anondita Medicare Limited,https://www.chittorgarh.com/ipo/anondita-medicare-ipo/2243/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Shivashrit Foods Limited,https://www.chittorgarh.com/ipo/shivashrit-foods-ipo/2303/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Classic Electrodes (India) Limited,https://www.chittorgarh.com/ipo/classic-electrodes-ipo/2395/,SME,,,,,,,,,,,,,,,,,,,,,,,,
ARC Insulation & Insulators Limited,https://www.chittorgarh.com/ipo/arc-insulations-ipo/2122/,SME,,,,,,,,,,,,,,,,,,,,,,,,
LGT Business Connextions Limited,https://www.chittorgarh.com/ipo/lgt-business-ipo/2091/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Studio LSD Limited,https://www.chittorgarh.com/ipo/studio-lsd-ipo/2113/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Mahendra Realtors & Infrastructure Limited,https://www.chittorgarh.com/ipo/mahendra-realtors-ipo/2043/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Icodex Publishing Solutions Limited,https://www.chittorgarh.com/ipo/icodex-publishing-ipo/2079/,SME,,,,,,,,,,,,,,,,,,,,,,,,
ANB Metal Cast Limited,https://www.chittorgarh.com/ipo/anb-metal-cast-ipo/2129/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Medistep Healthcare Limited,https://www.chittorgarh.com/ipo/medistep-healthcare-ipo/2178/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Star Imaging & Path Lab Limited,https://www.chittorgarh.com/ipo/star-imaging-ipo/2249/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Connplex Cinemas Limited,https://www.chittorgarh.com/ipo/connplex-cinemas-ipo/2160/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Sawaliya Foods Products Limited,https://www.chittorgarh.com/ipo/sawaliya-foods-products-ipo/2344/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Bhadora Industries Limited,https://www.chittorgarh.com/ipo/bhadora-industries-ipo/2055/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Parth Electricals & Engineering Limited,https://www.chittorgarh.com/ipo/parth-electricals-engineering-ipo/2255/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Jyoti Global Plast Limited,https://www.chittorgarh.com/ipo/jyoti-global-plast-ipo/2292/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Aaradhya Disposal Industries Limited,https://www.chittorgarh.com/ipo/aaradhya-disposal-industries-ipo/2311/,SME,,,,,,,,,,,,,,,,,,,,,,,,
BLT Logistics Limited,https://www.chittorgarh.com/ipo/blt-logistics-ipo/2325/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Essex Marine Limited,https://www.chittorgarh.com/ipo/essex-marine-ipo/2333/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Flysbs Aviation Limited,https://www.chittorgarh.com/ipo/flysbs-aviation-ipo/2418/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Cash Ur Drive Marketing Limited,https://www.chittorgarh.com/ipo/cash-ur-drive-marketing-ipo/2136/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Renol Polychem Limited,https://www.chittorgarh.com/ipo/renol-polychem-ipo/2200/,SME,,,,,,,,,,,,,,,,,,,,,,,,
B.D.Industries (Pune) Limited,https://www.chittorgarh.com/ipo/b-d-industries-ipo/2162/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Mehul Colours Limited,https://www.chittorgarh.com/ipo/mehul-colours-ipo/2302/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Takyon Networks Limited,https://www.chittorgarh.com/ipo/takyon-networks-ipo/2361/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Kaytex Fabrics Limited,https://www.chittorgarh.com/ipo/kaytex-fabrics-ipo/2050/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Repono Limited,https://www.chittorgarh.com/ipo/repono-limited-ipo/2232/,SME,,,,,,,,,,,,,,,,,,,,,,,,
Umiya Mobile Limited,https://www.chittorgarh.com/ipo/umiya-mobile-ipo/2273/,SME,,,,,,,,,,,,,,,,,,,,,,,,
